Payment,Date,Principal,Fees,Total
1,31 Dec 2024,R1335.38,R567.78,R1903.16
2,7 Jan 2025,R1335.38,R567.78,R1903.16
3,14 Jan 2025,R1335.38,R567.78,R1903.16
4,21 Jan 2025,R1335.38,R567.78,R1903.16
5,28 Jan 2025,R1335.38,R567.78,R1903.16
6,4 Feb 2025,R1335.38,R567.78,R1903.16
7,11 Feb 2025,R1335.38,R567.78,R1903.16
8,18 Feb 2025,R1335.38,R567.78,R1903.16
9,25 Feb 2025,R1781.49,R121.67,R1903.16
10,4 Mar 2025,R1781.49,R121.67,R1903.16
11,11 Mar 2025,R1781.49,R121.67,R1903.16
12,18 Mar 2025,R1781.49,R121.67,R1903.16
13,25 Mar 2025,R1781.49,R121.67,R1903.16
14,1 Apr 2025,R1781.49,R121.67,R1903.16
15,8 Apr 2025,R1781.49,R121.67,R1903.16
16,15 Apr 2025,R1781.49,R121.67,R1903.16
17,22 Apr 2025,R1781.49,R121.67,R1903.16
18,29 Apr 2025,R1781.49,R121.67,R1903.16
19,6 May 2025,R1781.49,R121.67,R1903.16
20,13 May 2025,R1781.49,R121.67,R1903.16
21,20 May 2025,R1781.49,R121.67,R1903.16
22,27 May 2025,R1781.49,R121.67,R1903.16
23,3 Jun 2025,R1781.49,R121.67,R1903.16
24,10 Jun 2025,R1781.49,R121.67,R1903.16
Totals,,R39186.88,R6488.91,R45675.79
